row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,26_Sample_RYTA006_1.mzML Peak height,19_Sample_RYMG001_2.mzML Peak height,38_Sample_ER001_2.mzML Peak height,43_Sample_ER001_3.mzML Peak height,30_Sample_RGB004_3.mzML Peak height,33_Sample_ATA001_1.mzML Peak height,31_Sample_FIED001_3.mzML Peak height,32_Sample_ATA001_3.mzML Peak height,22_Sample_ATA001_2.mzML Peak height,40_Sample_RYMG001_1.mzML Peak height,27_Sample_RIG005_3.mzML Peak height,28_Qc3_3.mzML Peak height,37_Sample_RIG005_1.mzML Peak height,4_Blanco.mzML Peak height,20_Sample_ER001_1.mzML Peak height,34_Qc1_2.mzML Peak height,42_Sample_RIG005_2.mzML Peak height,25_Sample_RYTA006_3.mzML Peak height,29_Sample_RGB004_1.mzML Peak height,35_Sample_RGY001_2.mzML Peak height,23_RIG003_2.mzML Peak height,16_Sample_RYMG001_3.mzML Peak height,11_Sample_FIED001_2.mzML Peak height,15_QC1_4.mzML Peak height,36_Sample_RGB004_2.mzML Peak height,18_Sample_FIED001_1.mzML Peak height,44_Qc2_5.mzML Peak height,21_Qc2_2.mzML Peak height,14_Sample_RYTA006_2.mzML Peak height,12_Sample_RGY001_3.mzML Peak height,45_Qc3_2.mzML Peak height,13_Sample_RIG003_3.mzML Peak height,8_Qc2_3.mzML Peak height,7_Qc1_5.mzML Peak height,17_Sample_RGY001_1.mzML Peak height,10_RIG003_1.mzML Peak height,41_Qc2_4.mzML Peak height,
11,73.02210236914073,3.5457897,,,,,,,,,,,218.0,0,669.0,0,0,0,0,405.0,295.0,335.0,0,0,0,0,180.0,849.0,0,250.0,2212.0,1113.0,218.0,0,0,0,0,485.0,0,669.0,249.0,1148.0,0,257.0,0,0,779.0,214.0,747.0,
12,61.99514733471475,3.5466666,,,,,,,,,,,0,0,0,0,0,1433.0,633.0,0,489.0,0,0,0,1346.0,0,0,1566.0,0,0,0,0,466.0,0,745.0,0,0,0,572.0,0,454.0,1543.0,1708.0,161.0,1879.0,487.0,0,0,1682.0,
13,70.00300816481884,3.5466664,,,,,,,,,,,0,0,0,0,218.0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.0,0,0,0,0,0,0,0,0,0,0,0,0,
14,71.0041937785242,3.546875,,,,,,,,,,,158.0,0,0,145.0,0,0,0,142.0,145.0,0,0,0,143.0,0,0,0,0,151.0,0,0,0,0,0,0,0,0,0,0,162.0,0,0,0,0,0,0,0,151.0,
15,53.0,3.5480003,,,,,,,,,,,0,214.0,0,0,0,0,0,0,0,0,0,0,199.0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.0,0,0,310.0,0,0,0,0,0,0,169.0,
16,41.02818286640222,3.55,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,92.01413420083176,3.5504997,,,,,,,,,,,0,0,0,0,0,422.0,0,0,0,0,167.0,0,362.0,0,0,350.0,0,0,146.0,0,188.0,0,0,0,0,0,0,0,0,382.0,478.0,0,498.0,0,0,0,540.0,
18,88.03370101894082,3.555,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,58.99999999999999,3.5600002,,,,,,,,,,,0,0,0,0,0,1743.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,39.973064120959386,3.5642858,,,,,,,,,,,1272.0,0,0,1332.0,0,0,1269.0,0,1109.0,0,0,0,0,1061.0,0,0,0,1241.0,0,1267.0,1143.0,0,0,0,1242.0,1177.0,1294.0,1135.0,0,0,0,1152.0,0,0,0,1170.0,0,
21,46.99740282914846,3.5646155,,,,,,,,,,,0,0,0,0,0,750.0,0,0,302.0,0,0,0,802.0,0,0,759.0,0,0,0,0,294.0,0,185.0,0,0,230.0,302.0,0,206.0,0,937.0,169.0,993.0,0,0,0,1023.0,
22,60.01339098961739,3.5649996,,,,,,,,,,,708.0,0,0,609.0,0,846.0,0,0,0,866.0,0,0,1510.0,0,0,0,742.0,0,1098.0,0,0,0,0,0,0,1382.0,1508.0,0,0,4305.0,0,0,1567.0,0,0,545.0,1343.0,
23,70.0,3.575,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,32.00179037080273,3.5866668,,,,,,,,,,,0,0,0,0,0,0,0,0,1900.0,0,0,0,0,0,0,0,0,0,2153.0,0,0,0,0,0,0,0,2441.0,0,0,0,0,0,0,0,0,0,0,
25,39.9681177935294,3.5974998,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163.0,0,0,0,0,1057.0,0,0,0,
26,68.99999999999999,3.6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.0,0,0,
27,73.05024344689849,3.6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603.0,0,0,0,0,0,0,
28,75.00232941537054,3.6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.0,0,0,0,0,0,
29,88.01563488196697,3.60625,,,,,,,,,,,0,0,0,201.0,0,0,218.0,0,0,0,0,0,0,0,0,0,0,0,0,244.0,0,0,0,0,0,0,0,0,0,0,0,0,164.0,0,0,0,0,
30,43.00466722157707,3.6169999,,,,,,,,,,,0,0,2401.0,1432.0,0,0,0,0,0,0,0,6134.0,0,0,0,0,0,0,0,0,0,0,1521.0,0,0,0,0,6007.0,0,0,0,0,0,0,0,0,0,
31,45.002895368222006,3.618333,,,,,,,,,,,0,0,7297.0,1639.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4996.0,0,0,0,0,0,0,0,0,0,0,
32,55.02273077151771,3.62375,,,,,,,,,,,0,0,699.0,0,730.0,0,0,0,0,265.0,377.0,1551.0,0,0,0,0,394.0,322.0,0,629.0,451.0,0,0,0,814.0,0,1553.0,1257.0,278.0,0,0,460.0,0,0,572.0,406.0,0,
33,74.05027918201239,3.6283333,,,,,,,,,,,0,0,2359.0,0,0,0,0,0,0,0,0,5081.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3897.0,0,0,0,0,0,0,0,0,0,
34,57.040052358817796,3.6299999,,,,,,,,,,,0,0,1004.0,0,0,0,0,0,0,0,0,2145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1826.0,0,0,0,0,0,0,0,0,0,
35,53.0,3.631667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,233.0,0,0,0,0,0,0,0,0,0,0,0,0,153.0,0,0,166.0,0,0,0,0,0,0,0,0,0,
36,71.0,3.635,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,151.0,0,0,0,0,0,0,180.0,0,0,0,0,0,226.0,0,0,0,0,0,0,0,0,0,0,0,0,
37,77.04311733383958,3.63625,,,,,,,,,,,0,0,46031.0,0,0,0,0,0,0,0,0,60798.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18830.0,73379.0,0,0,0,0,0,0,0,0,0,
38,97.02505540619421,3.6377275,,,,,,,,,,,0,0,0,0,268.0,0,0,0,0,0,210.0,204.0,191.0,0,0,0,220.0,0,242.0,270.0,217.0,0,191.0,201.0,265.0,191.0,202.0,202.0,0,282.0,191.0,249.0,166.0,166.0,268.0,212.0,228.0,
39,92.01620343267201,3.6433334,,,,,,,,,,,0,0,350.0,0,0,0,0,0,0,0,0,454.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570.0,0,0,0,0,0,0,0,0,0,
40,61.99049811200398,3.6449997,,,,,,,,,,,0,0,1159.0,0,0,0,0,0,0,0,0,1623.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100.0,0,0,0,0,0,0,0,0,0,
41,47.0,3.65375,,,,,,,,,,,0,0,658.0,0,0,0,0,0,0,0,0,934.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182.0,145.0,0,0,0,0,0,0,0,0,
42,73.01855268758831,3.65375,,,,,,,,,,,0,0,342.0,239.0,1989.0,0,0,0,0,0,262.0,676.0,0,0,0,0,0,0,0,0,0,0,0,364.0,0,0,683.0,602.0,0,0,0,0,0,0,0,0,0,
43,39.973785727964426,3.6542857,,,,,,,,,,,0,1155.0,1235.0,0,0,1180.0,0,1137.0,0,1337.0,0,1284.0,1239.0,0,1154.0,0,1313.0,0,0,0,0,1197.0,1223.0,0,0,0,0,0,0,1214.0,0,0,0,0,1196.0,0,1318.0,
44,60.02290718476297,3.6583335,,,,,,,,,,,0,0,866.0,0,826.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1518.0,0,0,0,0,0,0,0,0,0,
45,45.00369683050812,3.6780002,,,,,,,,,,,1650.0,0,0,0,5063.0,0,0,0,0,0,0,10143.0,0,3551.0,0,0,3197.0,0,0,0,0,0,0,2892.0,4270.0,0,0,12231.0,1465.0,0,0,2297.0,0,0,0,0,0,
46,43.01817632626062,3.6849997,,,,,,,,,,,0,0,0,0,6582.0,0,0,0,0,0,1316.0,0,0,0,0,0,2268.0,0,0,0,0,0,0,1943.0,6620.0,0,0,0,0,2175.0,0,1375.0,0,0,2111.0,0,0,
47,88.06535414896825,3.6849997,,,,,,,,,,,0,0,0,0,891.0,0,0,0,0,0,0,0,0,0,0,0,0,178.0,0,0,0,0,0,0,878.0,0,0,0,0,0,0,0,0,0,0,0,0,
48,57.02155924682238,3.695,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,559.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,74.04231170365165,3.695,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,59.023907228322294,3.71,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,798.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,62.0,3.71,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,620.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,77.03413077870245,3.71,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,22446.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,55.003457401215336,3.711818,,,,,,,,,,,409.0,0,247.0,297.0,0,318.0,0,378.0,0,0,0,0,0,346.0,0,0,0,0,0,0,0,242.0,327.0,422.0,0,0,389.0,0,0,0,0,0,0,410.0,0,0,0,
54,83.01353133006309,3.73,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.0,0,0,0,0,0,
55,46.99708999149383,3.73125,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,396.0,0,0,0,0,0,0,0,0,0,158.0,0,0,0,0,0,0,0,167.0,0,0,206.0,0,0,
56,45.00567709652738,3.7415385,,,,,,,,,,,0,0,0,0,0,0,3943.0,0,1541.0,0,2809.0,0,2430.0,0,0,2359.0,0,0,5004.0,0,1734.0,2068.0,3647.0,1508.0,0,0,0,0,0,0,2528.0,0,0,2969.0,0,0,2052.0,
57,43.03038502141533,3.7432353,,,,,,,,,,,6067.0,1487.0,3727.0,3031.0,0,4518.0,0,4581.0,3594.0,0,2066.0,0,0,695.0,2635.0,0,0,5457.0,0,0,1254.0,1519.0,0,0,0,2354.0,0,0,5017.0,0,2567.0,0,0,2308.0,0,0,0,
58,73.0348935053664,3.7472224,,,,,,,,,,,0,0,0,226.0,0,0,884.0,487.0,0,0,0,0,813.0,0,0,0,340.0,0,0,0,0,274.0,314.0,0,1945.0,0,0,0,0,0,0,0,0,450.0,0,0,0,
59,75.01525884509232,3.7475,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.0,0,0,0,0,0,0,0,0,0,207.0,0,0,0,0,0,0,0,
60,85.06320114537382,3.7580767,,,,,,,,,,,3196.0,0,1453.0,1318.0,162.0,1977.0,0,1802.0,1563.0,0,188.0,511.0,143.0,0,1009.0,210.0,154.0,2745.0,190.0,0,161.0,0,0,327.0,0,0,454.0,547.0,2446.0,0,401.0,154.0,673.0,343.0,0,182.0,464.0,
61,53.0,3.76,,,,,,,,,,,0,0,0,0,0,0,0,140.0,0,0,0,0,0,0,0,0,0,196.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,59.99999999999999,3.76,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,310.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,57.06666951386187,3.76,,,,,,,,,,,2978.0,0,1449.0,1452.0,438.0,2049.0,389.0,1908.0,1660.0,0,0,681.0,0,0,1140.0,425.0,0,2572.0,0,0,330.0,0,0,732.0,0,0,682.0,676.0,2359.0,0,554.0,454.0,804.0,636.0,0,0,612.0,
64,41.0176292018239,3.7605,,,,,,,,,,,2478.0,0,0,0,2599.0,1802.0,1269.0,1909.0,1456.0,0,0,0,0,0,1112.0,0,0,2343.0,2122.0,0,0,0,0,0,0,0,0,0,2092.0,0,0,0,0,0,0,0,0,
65,43.99708190952386,3.76375,,,,,,,,,,,0,0,0,1234.0,0,0,0,0,0,1983.0,1634.0,0,0,0,0,0,2090.0,0,0,0,1007.0,1490.0,1415.0,0,0,0,0,0,0,0,0,0,0,0,0,1028.0,0,
66,71.03362172235059,3.764655,,,,,,,,,,,1762.0,0,890.0,817.0,234.0,1110.0,0,1012.0,865.0,0,180.0,335.0,143.0,0,612.0,182.0,183.0,1532.0,252.0,610.0,0,0,143.0,270.0,239.0,0,265.0,369.0,1434.0,671.0,322.0,0,468.0,249.0,591.0,143.0,298.0,
67,88.05513185372183,3.774286,,,,,,,,,,,0,0,234.0,0,0,0,587.0,0,0,0,0,0,0,0,0,0,0,0,855.0,498.0,0,0,0,0,0,0,0,0,0,494.0,0,0,266.0,0,446.0,0,0,
68,55.02357684369902,3.785,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.0,0,479.0,0,0,0,0,
69,83.01999969482424,3.785,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,42.0,3.7985713,,,,,,,,,,,0,1034.0,0,0,0,0,0,0,0,1361.0,0,0,0,0,0,0,0,0,0,4023.0,0,919.0,0,0,0,1119.0,0,0,0,3359.0,0,0,0,0,2686.0,0,0,
71,39.986589713646126,3.816,,,,,,,,,,,0,0,0,1282.0,0,0,0,0,0,0,0,0,0,0,1113.0,0,0,0,0,0,0,0,0,0,0,0,0,1114.0,0,0,0,0,0,0,1268.0,0,1332.0,
72,71.00519570385119,3.825,,,,,,,,,,,0,0,0,0,0,0,0,0,0,146.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,45.00789480520844,3.8388236,,,,,,,,,,,666.0,0,1822.0,0,1255.0,746.0,0,1197.0,849.0,2538.0,814.0,2646.0,0,0,761.0,0,1056.0,0,1143.0,0,818.0,951.0,0,0,0,0,2599.0,0,1038.0,0,0,0,0,0,0,954.0,0,
74,41.0238835641316,3.85,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202.0,0,0,0,0,
75,88.04464502211721,3.85,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,265.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.0,0,0,0,0,0,0,0,0,0,
76,43.01846624128062,3.855,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1106.0,773.0,0,0,0,0,0,882.0,0,0,2930.0,591.0,800.0,809.0,0,0,746.0,0,0,0,0,0,726.0,0,0,0,692.0,0,
77,55.00565531382333,3.86125,,,,,,,,,,,0,0,0,0,0,0,0,397.0,302.0,215.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.0,0,0,0,0,0,0,0,0,0,0,
78,57.04465552814656,3.8775,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531.0,0,0,
79,69.0,3.8775,,,,,,,,,,,0,0,0,0,0,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.0,0,0,0,0,0,0,0,0,0,0,0,0,
80,77.00000000000001,3.88,,,,,,,,,,,0,0,0,0,0,0,0,0,0,164.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,73.0999984741211,3.885,,,,,,,,,,,148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,87.02128930050631,3.885,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.0,0,0,0,0,0,0,0,0,0,0,0,0,174.0,0,0,0,0,
83,39.98188567387005,3.89625,,,,,,,,,,,0,0,1210.0,0,0,1193.0,0,1185.0,1153.0,0,0,0,1172.0,0,0,0,0,0,0,1265.0,0,0,0,0,0,0,0,0,0,0,0,0,1060.0,0,0,0,1321.0,
84,55.0,3.9225001,,,,,,,,,,,242.0,0,225.0,186.0,0,298.0,0,0,0,0,0,0,0,0,140.0,0,0,0,0,298.0,0,0,0,0,0,0,0,300.0,202.0,308.0,0,0,244.0,0,0,0,0,
85,87.02897006208111,3.935,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.0,0,0,0,0,0,0,0,0,557.0,0,0,0,0,0,0,0,0,0,0,0,0,
86,45.02251012141473,3.9399998,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10100.0,0,0,
87,75.02431053015137,3.945,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.0,0,0,0,668.0,0,0,0,0,0,0,0,182.0,0,848.0,210.0,0,183.0,0,897.0,0,169.0,
88,43.004340269783704,3.9483335,,,,,,,,,,,0,668.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2330.0,0,0,0,0,1786.0,0,0,
89,103.02463819679205,3.96,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.0,0,0,0,0,0,0,0,
90,96.00807143286484,3.9658334,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,148.0,0,0,0,180.0,0,0,0,0,0,0,0,158.0,0,0,154.0,159.0,0,0,0,0,0,0,0,0,182.0,
91,77.00147664610338,3.9662502,,,,,,,,,,,191.0,0,185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.0,0,0,254.0,0,0,0,0,0,0,0,0,0,0,
92,75.00230719766975,3.9875,,,,,,,,,,,0,0,0,0,0,0,180.0,0,0,0,0,182.0,0,0,0,0,0,0,0,0,0,0,0,162.0,0,151.0,193.0,0,0,0,0,0,0,183.0,0,0,0,
93,39.97294799298025,3.9899998,,,,,,,,,,,0,0,0,0,1223.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,45.01405570236228,4.002857,,,,,,,,,,,0,0,0,1249.0,0,0,0,0,0,0,0,0,1383.0,0,0,3187.0,0,0,0,0,0,0,0,2129.0,0,0,0,5159.0,0,0,0,0,5806.0,0,0,0,6518.0,
95,41.02850096566336,4.02,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078.0,0,0,0,0,
96,56.999398189728865,4.02,,,,,,,,,,,0,0,222.0,0,0,0,0,290.0,276.0,0,0,0,0,172.0,193.0,234.0,0,0,0,268.0,0,0,0,0,0,0,0,0,356.0,0,0,0,382.0,0,263.0,0,0,
97,55.003295327773515,4.0287504,,,,,,,,,,,0,0,0,0,0,0,0,0,0,169.0,0,0,0,0,0,0,0,0,0,361.0,0,0,0,0,399.0,0,0,0,0,0,0,0,0,178.0,0,0,0,
98,71.00734435797837,4.0350003,,,,,,,,,,,0,0,151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.0,0,0,0,0,0,0,0,0,0,0,150.0,145.0,0,0,0,0,0,0,0,
99,85.01414056724873,4.0385714,,,,,,,,,,,204.0,0,159.0,0,0,242.0,0,194.0,143.0,0,0,0,0,0,0,0,0,308.0,0,0,0,0,0,0,0,0,0,0,153.0,0,0,0,0,0,0,0,0,
100,60.01054806619623,4.045,,,,,,,,,,,0,0,0,0,0,0,0,0,0,935.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
101,73.00511931535857,4.045,,,,,,,,,,,0,0,0,0,0,0,0,0,164.0,217.0,0,0,0,0,0,0,0,0,0,0,153.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.0,
102,43.01665961528485,4.0475,,,,,,,,,,,713.0,0,0,0,0,0,0,0,0,0,0,0,0,354.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
103,87.08571297781808,4.055,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104,57.004605192887155,4.07,,,,,,,,,,,0,0,0,222.0,0,0,182.0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.0,
105,69.00417400380435,4.0775,,,,,,,,,,,0,0,0,0,0,150.0,0,0,0,0,0,0,0,0,0,206.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
